actor_nconst,title_tconst
nm0797848,tt0056845
nm0621974,tt0056846
nm0903762,tt0056919
nm0699812,tt0056919
nm0759395,tt0056945
nm0297741,tt0057215
nm4745801,tt0057237
nm0632148,tt0057237
nm0738020,tt0057238
nm0303646,tt0057261
nm0358749,tt0057261
nm0611538,tt0057277
nm0709951,tt0057286
nm0847361,tt0058379
nm0756292,tt0058379
nm0846102,tt0058379
nm0111503,tt0058390
nm0228853,tt0058414
nm0508061,tt0053168
nm0561158,tt0053198
nm0757299,tt0053259
nm0141092,tt0053270
nm0001976,tt0053361
nm0664965,tt0053361
nm0906723,tt0053390
nm0534045,tt0053604
nm0472816,tt0053604
nm0750879,tt0053619
nm0249735,tt0053976
nm0248811,tt0054177
nm0443985,tt0054189
nm0276043,tt0054269
nm1149137,tt0054325
nm0393378,tt0054366
nm0913796,tt0054366
nm0765783,tt0054366
nm0665186,tt0054599
nm0346751,tt0054599
nm0463451,tt0054665
nm16374203,tt0054745
nm0710701,tt0054763
nm0847301,tt0054845
nm0619938,tt0054845
nm3057735,tt0054861
nm0426020,tt0054940
nm0625115,tt0055032
nm0367370,tt0055269
nm0018872,tt0055310
nm0947547,tt0055310
nm0699781,tt0055310
nm0709951,tt0055399
nm0001884,tt0055499
nm0082689,tt0055506
nm0085269,tt0055506
nm0108400,tt0055572
nm0629458,tt0055597
nm0867391,tt0055630
nm0270766,tt0055830
nm0733598,tt0055913
nm0551243,tt0055928
nm0127904,tt0055981
nm0472989,tt0056111
nm0949033,tt0056135
nm0176342,tt0056210
nm0162134,tt0056291
nm0002094,tt0056512
nm0959916,tt0056514
nm0557540,tt0056514
nm0895225,tt0056514
nm0465531,tt0056562
nm0483740,tt0056667
nm0627109,tt0056667
nm0913843,tt0056680
nm10255204,tt0056680
nm0945836,tt0056714
nm0159300,tt0057171
nm0540311,tt0057611
nm1655093,tt0057632
nm0367370,tt0057829
nm0615549,tt0057960
nm0229489,tt0058006
nm0422392,tt0058022
nm0298777,tt0058124
nm0461231,tt0058138
nm0511695,tt0058150
nm1063535,tt0058279
nm0882237,tt0058564
nm0872689,tt0058564
nm0297896,tt0058698
nm0631659,tt0058888
nm0958831,tt0058888
nm0900557,tt0059012
nm0660007,tt0059160
nm0409971,tt0059303
nm0154164,tt0059348
nm0579844,tt0059415
nm0585918,tt0059456
nm0855385,tt0059554
nm2975818,tt0059581
nm0442709,tt0059715
nm8097472,tt0059817
nm0813463,tt0060107
nm0338398,tt0060138
nm0694934,tt0060223
nm0001396,tt0060231
nm0001536,tt0060277
nm0243175,tt0060304
nm0956643,tt0060305
nm0594682,tt0060440
nm0559607,tt0060586
nm0418804,tt0060597
nm0359161,tt0060635
nm0420545,tt0060758
nm0621190,tt0060758
nm0608196,tt0060770
nm0705788,tt0161292
nm0406740,tt0164707
nm0847291,tt0164707
nm0784778,tt0165339
nm0715693,tt0165773
nm0438903,tt0165773
nm0012376,tt0165798
nm0002070,tt0166896
nm0072785,tt0169606
nm1399588,tt0169606
nm0703866,tt0171685
nm16437946,tt0255441
nm0008384,tt0259248
nm0605270,tt0259248
nm0075761,tt0259255
nm0660786,tt0261739
nm0390184,tt0262432
nm0006244,tt0265197
nm0335073,tt0405861
nm0605270,tt0407929
nm0951520,tt0411270
nm12679429,tt10888456
nm2347861,tt14039582
nm0765324,tt1558972
nm3850259,tt19623228
nm5757166,tt2332801
nm9589054,tt29893103
nm0213450,tt5507860
nm0509264,tt6910282
nm0766225,tt0054122
nm0199029,tt0054144
nm0462658,tt0057374
nm0097714,tt0057374
nm0462208,tt0057503
nm0441399,tt0057565
nm3547351,tt0060464
nm0869601,tt0060486
nm0714933,tt0060543
nm0620314,tt0060560
nm0732184,tt0038853
nm0869429,tt0038854
nm0654293,tt0038924
nm0594542,tt0039090
nm0477767,tt0039090
nm0386085,tt0039417
nm0634994,tt0039485
nm0000122,tt0039631
nm0339452,tt0039689
nm0916253,tt0039689
nm0110917,tt0039689
nm0884292,tt0039689
nm0601129,tt0039689
nm0637891,tt0039871
nm0793674,tt0039871
nm2518733,tt0040092
nm0426089,tt0040160
nm0894447,tt0040160
nm0163163,tt0040330
nm0703033,tt0040416
nm0213948,tt0040497
nm0706157,tt0040497
nm0121296,tt0040636
nm0835751,tt0040662
nm0361697,tt0041154
nm0031812,tt0041154
nm0793766,tt0041699
nm0220448,tt0041719
nm0002145,tt0041735
nm0268119,tt0041886
nm0625624,tt0041998
nm0927711,tt0041998
nm0256873,tt0072439
nm0545383,tt0072826
nm0691201,tt0072826
nm0462648,tt0072962
nm0442598,tt0073107
nm0001901,tt0073198
nm1272096,tt0073363
nm0542405,tt0073363
nm2681947,tt0073363
nm0147061,tt0073424
nm0379258,tt0073424
nm0671515,tt0073424
nm0475707,tt0073654
nm0847221,tt0073654
nm0412615,tt0073841
nm0847691,tt0073841
nm0765500,tt0073915
nm0097210,tt0073948
nm0559405,tt0074102
nm0623787,tt0074486
nm0352278,tt0074515
nm0903277,tt0074515
nm0001025,tt0074749
nm0491248,tt0074868
nm0078109,tt0074883
nm0078109,tt0074916
nm0779966,tt0075098
nm0000156,tt0075744
nm0456124,tt0075744
nm0689488,tt0075744
nm1707112,tt0095302
nm0482567,tt0095403
nm0089777,tt0095417
nm0141697,tt0095951
nm0078517,tt0096163
nm0824373,tt0096163
nm0001025,tt0096294
nm0490489,tt0096461
nm0156484,tt0096461
nm0151858,tt0096461
nm0393063,tt0096472
nm0707725,tt0096841
nm0001099,tt0097052
nm0522554,tt0097372
nm0465532,tt0097444
nm0473984,tt0097444
nm0066223,tt0098019
nm0001200,tt0098112
nm0849892,tt0098327
nm0441526,tt0143012
nm0644856,tt0143428
nm0619821,tt0143428
nm0793404,tt0144589
nm0217680,tt0150430
nm1073093,tt0150980
nm0453117,tt0151789
nm0137798,tt0154506
nm0748964,tt0249241
nm1022000,tt0253967
nm0395942,tt0253967
nm0759797,tt0254686
nm0973796,tt0254686
nm0646165,tt0468526
nm0297686,tt0781599
nm13688869,tt13648224
nm4515871,tt1376717
nm4178946,tt1376717
nm6877833,tt20205236
nm14359585,tt20205236
nm16546047,tt29271889
nm4482691,tt9617512
nm0004570,tt0050188
nm0611617,tt0050188
nm0294393,tt0050193
nm0756292,tt0050251
nm0297869,tt0050330
nm0848768,tt0050421
nm0431725,tt0050574
nm0793766,tt0050613
nm0085038,tt0051365
nm0000761,tt0051365
nm0856187,tt0051372
nm0252603,tt0051390
nm1080118,tt0051418
nm0875237,tt0051512
nm0632757,tt0051704
nm0192033,tt0051713
nm0367156,tt0051713
nm0451339,tt0051792
nm0881829,tt0051879
nm0624840,tt0051879
nm0945850,tt0052016
nm0619227,tt0052016
nm0192490,tt0052556
nm0595321,tt0052556
nm5576481,tt0052572
nm0824496,tt0052587
nm0836226,tt0052654
nm0202072,tt0052893
nm0778508,tt0052961
nm0473984,tt0052966
nm0586733,tt0052981
nm1186378,tt0052981
nm0601476,tt0052997
nm0193459,tt0053121
nm0410965,tt0053121
nm0154169,tt0087328
nm0337016,tt0087414
nm0788375,tt0087763
nm0771532,tt0087821
nm0000848,tt0087995
nm0055794,tt0087995
nm0892455,tt0087995
nm5396858,tt0088222
nm0000460,tt0088315
nm0001560,tt0088315
nm0089244,tt0088680
nm0623414,tt0088992
nm0005033,tt0089177
nm0338564,tt0089343
nm0943138,tt0089371
nm6474936,tt0089507
nm0175147,tt0089537
nm0652740,tt0089603
nm0249644,tt0089746
nm0371304,tt0089838
nm0146609,tt0089960
nm0572865,tt0090251
nm4979592,tt0090251
nm0005033,tt0090956
nm0442876,tt0091136
nm0760796,tt0091229
nm0073415,tt0091251
nm0243260,tt0091288
nm1670179,tt0091293
nm0444287,tt0091461
nm0094786,tt0091461
nm0065932,tt0091538
nm0391969,tt0091859
nm0413181,tt0091859
nm0001186,tt0091867
nm0646037,tt0091869
nm0849006,tt0091946
nm0475837,tt0092048
nm0077587,tt0092219
nm1468687,tt0092905
nm4215560,tt0092905
nm0231652,tt0093191
nm0948078,tt0093389
nm0490497,tt0093422
nm0150774,tt0093426
nm0882573,tt0093668
nm0471562,tt0093668
nm0869412,tt0093733
nm1319191,tt0093733
nm0065980,tt0093843
nm0151155,tt0093944
nm0944684,tt0093978
nm0398987,tt0093978
nm0003133,tt0094011
nm0881924,tt0094048
nm0597829,tt0094048
nm0847490,tt0094100
nm0411883,tt0094100
nm0718320,tt0094248
nm0712819,tt0094314
nm0911007,tt0094357
nm5069416,tt0094375
nm0753666,tt0094709
nm1163219,tt0094858
nm0186469,tt0094868
nm0001648,tt0094933
nm1017932,tt0236576
nm0497662,tt0244316
nm2399585,tt0847817
nm2402298,tt0847817
nm2401081,tt0847817
nm2411639,tt1093842
nm1595327,tt16294920
nm4392517,tt1847731
nm0924210,tt2560102
nm0221518,tt27656132
nm15034201,tt28349668
nm5574267,tt33381401
nm13279801,tt33381401
nm0540795,tt3763790
nm0744063,tt3763790
nm0788631,tt3763790
nm0402451,tt0093284
nm0125389,tt0093284
nm0156558,tt0093304
nm0939209,tt0093304
nm0315938,tt0093342
nm0491225,tt0093371
nm0181867,tt0042436
nm0941660,tt0042665
nm0496866,tt0042665
nm0416228,tt0042665
nm0535979,tt0042692
nm0229697,tt0042783
nm0723898,tt0042898
nm0571580,tt0042898
nm0201638,tt0042906
nm0431641,tt0042906
nm0793674,tt0042958
nm0090943,tt0043048
nm0598981,tt0043115
nm0001958,tt0043140
nm0594381,tt0043313
nm0760176,tt0043362
nm0267838,tt0043532
nm0015957,tt0043567
nm0055364,tt0043809
nm0491930,tt0043927
nm0757104,tt0044029
nm0259134,tt0044060
nm0817930,tt0044121
nm0949662,tt0044121
nm0641397,tt0044386
nm0679959,tt0044602
nm0757104,tt0044793
nm0152261,tt0044837
nm0785771,tt0045034
nm0000027,tt0045056
nm0465236,tt0045112
nm0312902,tt0045274
nm0410756,tt0045554
nm0847301,tt0045802
nm0643887,tt0045802
nm0344958,tt0045848
nm0247954,tt0045900
nm0085021,tt0045900
nm0755401,tt0046127
nm0879945,tt0046127
nm0837503,tt0046438
nm0932787,tt0046487
nm0560749,tt0046511
nm0712944,tt0046511
nm0409421,tt0046521
nm0879945,tt0046750
nm0410965,tt0046851
nm0864797,tt0046851
nm0167243,tt0046911
nm0431025,tt0046998
nm0915077,tt0047094
nm0913899,tt0047281
nm0036317,tt0047287
nm0742881,tt0047287
nm0477767,tt0047445
nm1856108,tt0047528
nm0361697,tt0047682
nm0849108,tt0047682
nm0264770,tt0047821
nm0181305,tt0047821
nm0279036,tt0047821
nm0300341,tt0047876
nm0648543,tt0048127
nm0245240,tt0048133
nm0181053,tt0048394
nm0222436,tt0048473
nm0658879,tt0048500
nm0454247,tt0048641
nm0027894,tt0048673
nm0407401,tt0048731
nm0945299,tt0048757
nm0784279,tt0048757
nm0671942,tt0048801
nm0350324,tt0049042
nm0603600,tt0049177
nm0000024,tt0049674
nm0001374,tt0049730
nm0756292,tt0049782
nm0015416,tt0049782
nm0753479,tt0049784
nm0941416,tt0049856
nm13359377,tt0049916
nm0001057,tt0118866
nm0295823,tt0119167
nm0317385,tt0119167
nm0880716,tt0119375
nm0210701,tt0119614
nm17088121,tt0119755
nm3149728,tt0119755
nm0648090,tt0120263
nm15318629,tt0120265
nm0049086,tt0120265
nm0183142,tt0120448
nm6916037,tt0120448
nm0658637,tt0121444
nm0810646,tt0122111
nm0575905,tt0122111
nm0148393,tt0122371
nm0437704,tt0174707
nm0457223,tt0174707
nm0410041,tt0175743
nm1689758,tt0177539
nm0766212,tt0178868
nm0856500,tt0216605
nm0746371,tt0216605
nm0850907,tt0216605
nm10213491,tt0217126
nm7475478,tt0217853
nm0568855,tt0218817
nm0078109,tt0219058
nm0008798,tt0219058
nm0112804,tt0219058
nm0235366,tt0219058
nm0420576,tt0223027
nm0167799,tt0223027
nm0594348,tt0226737
nm0847301,tt0226737
nm0793674,tt0226737
nm0643887,tt0226737
nm1286124,tt0322824
nm0465503,tt0415380
nm0457519,tt0417214
nm1708668,tt0421960
nm1702381,tt0423176
nm0508644,tt0423176
nm0751287,tt0424359
nm2717975,tt0424359
nm0320762,tt0993789
nm1671512,tt1032846
nm11679693,tt12564514
nm4423646,tt14064214
nm3759061,tt1570989
nm14503567,tt2006181
nm5293539,tt28419037
nm5014211,tt2963262
nm14109677,tt2963262
nm2798081,tt32828123
nm0162123,tt5278832
nm0430746,tt6725014
nm0569635,tt0060879
nm0224501,tt0061084
nm0823085,tt0061084
nm0473308,tt0061162
nm0333191,tt0061196
nm0207215,tt0061495
nm0089280,tt0061658
nm0142549,tt0061658
nm1080916,tt0061882
nm2087817,tt0061912
nm0875362,tt0061971
nm1475698,tt0061996
nm0468699,tt0062042
nm0001036,tt0062113
nm0537392,tt0062136
nm0289516,tt0062229
nm0462607,tt0062322
nm1832197,tt0062322
nm0094083,tt0062455
nm0952294,tt0062455
nm0822337,tt0062455
nm0947627,tt0062456
nm0632757,tt0062518
nm0681566,tt0062893
nm0252299,tt0062916
nm0137524,tt0062952
nm0804991,tt0063371
nm0774880,tt0063371
nm0716892,tt0063527
nm0959149,tt0063527
nm0311731,tt0063555
nm0590979,tt0063555
nm0948438,tt0063598
nm0694906,tt0063633
nm0053700,tt0063678
nm0455849,tt0063876
nm0252843,tt0064038
nm0001428,tt0083702
nm0014524,tt0083859
nm0756492,tt0083869
nm0356389,tt0083869
nm0595989,tt0084042
nm0576507,tt0084042
nm0897808,tt0084383
nm0131209,tt0084383
nm0190683,tt0084388
nm0843946,tt0084388
nm0778016,tt0084423
nm0296064,tt0084565
nm0482614,tt0084807
nm0061728,tt0084808
nm0818874,tt0084867
nm0886142,tt0085180
nm0062488,tt0085180
nm0000329,tt0085864
nm0359171,tt0085864
nm0000107,tt0085891
nm0860233,tt0085933
nm0100292,tt0086087
nm0457215,tt0086242
nm0762807,tt0086242
nm0692261,tt0086245
nm0883893,tt0086479
nm0764918,tt0086479
nm0553769,tt0086479
nm0797631,tt0086551
nm0440090,tt0086859
nm0001847,tt0086859
nm0001436,tt0086859
nm0736359,tt0086889
nm2870521,tt0086907
nm0054007,tt0086961
nm0943814,tt0110598
nm0821637,tt0111495
nm0772159,tt0111495
nm0000365,tt0111507
nm0871515,tt0111681
nm0906945,tt0112364
nm0267060,tt0112445
nm0001960,tt0112654
nm0000136,tt0112817
nm0000053,tt0112817
nm0151014,tt0112913
nm4094995,tt0113145
nm0712205,tt0113247
nm0629517,tt0114305
nm0942482,tt0115632
nm0000686,tt0115632
nm0566445,tt0116293
nm0557219,tt0116922
nm0001461,tt0116962
nm17098308,tt0117056
nm0719220,tt0117296
nm0319843,tt0117394
nm0332709,tt0117398
nm0113768,tt0118147
nm0537551,tt0118147
nm0072279,tt0118644
nm1851507,tt0269104
nm17345710,tt0274069
nm0228075,tt0274117
nm1495674,tt0348529
nm0406911,tt0398883
nm0000160,tt1065073
nm0022883,tt1764183
nm0336695,tt27729122
nm2028715,tt27729122
nm0156495,tt30439035
nm0548266,tt3505094
nm0368028,tt0063169
nm0010395,tt0063169
nm0462085,tt0063172
nm0473530,tt0063186
nm0766225,tt0063198
nm1078322,tt0063206
nm0358396,tt0014109
nm0607369,tt0014624
nm0707814,tt0014945
nm0795500,tt0015361
nm1198583,tt0015634
nm0318171,tt0015634
nm0031446,tt0015648
nm0327150,tt0015648
nm1160085,tt0015648
nm0616762,tt0015863
nm0132351,tt0017075
nm0756292,tt0064373
nm0364433,tt0064437
nm0541193,tt0064451
nm0181175,tt0064482
nm0537392,tt0064674
nm0571609,tt0064689
nm2135108,tt0064689
nm0002069,tt0064694
nm1746732,tt0064694
nm0149281,tt0064816
nm0053700,tt0064828
nm0467374,tt0064843
nm2286934,tt0064921
nm0245240,tt0065234
nm0075108,tt0065261
nm0582213,tt0065591
nm0744638,tt0065600
nm0867398,tt0065649
nm0299230,tt0065649
nm0597492,tt0065772
nm0943827,tt0065780
nm0168131,tt0065808
nm0392705,tt0066498
nm0357278,tt0066602
nm0396096,tt0066603
nm0652961,tt0066639
nm0001285,tt0066826
nm0135534,tt0066842
nm0103561,tt0066842
nm0876567,tt0066989
nm8624291,tt0067048
nm1368570,tt0067148
